movie_name,storyline,url
Allen Sunshine,"A music mogul retreats to a remote cabin to mourn his famous wife's suicide. Amid the solitude of the Canadian wilderness he struggles with grief, until an unexpected encounter ends his isolation.",https://www.imdb.com/title/tt21965874/
Inheritance,"After the death of eccentric inventor Jan Peszek, a family gathers to inherit his fortune. Unexpectedly, he prepares a last game to test their reconciliation and teamwork.",https://www.imdb.com/title/tt32245043/
Hijack 1971,People fight to survive when a passenger plane is hijacked over Korean airspace in 1971.,https://www.imdb.com/title/tt31624258/
Sacramento,"An energetic and free-spirited young man convinces his long-time friend, who's settled into domestic life, to go on an impromptu road trip from Los Angeles to Sacramento.",https://www.imdb.com/title/tt13491834/
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,"A writer in a creative crisis befriends a retired serial killer, who becomes his marriage therapist and consultant for a new book. But his wife begins to suspect she might be a target.",https://www.imdb.com/title/tt17492148/
Dead Talents Society,Follows ghosts who want to become the spookiest of urban legends and most successful and famous stars in the underworld through their scare tactics and performances amongst the living.,https://www.imdb.com/title/tt17079606/
Spermageddon,"Two narrative threads - one is an emerging love story between two awkward teens, John and Lisa, who are having sex for the first time and the other is an eventful quest of Simon the Semen and his friends to reach the golden goal, the Egg.",https://www.imdb.com/title/tt14828040/
Drawing Closer,"With only a year left to live, 17-year-old Akito finds new meaning in life by bringing joy to a terminally ill girl who has just six months remaining.",https://www.imdb.com/title/tt31078761/
Night Call,"This night is like all the others for Mady, student by day, locksmith by night. But Claire, the enigmatic young girl he helps out that night, is not who she claims to be. Mady has only one night to prove his innocence in a city in turmoil.",https://www.imdb.com/title/tt16826430/
Outbreak,"A Psychological Thriller about a state park ranger husband and his wife struggling to come to terms with their missing teenage son while dealing with a local mystery that questions their relationship and in the end, their grip on reality.",https://www.imdb.com/title/tt27791972/
Bad Genius,A group of seniors of an entrepreneurial high school team up to take down a rigged college admissions system.,https://www.imdb.com/title/tt17717416/
